City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
39,lobujya,27.95,86.8167,-10.63,89,35,1.99,NP,1729541787
40,longyearbyen,78.2186,15.6401,1.91,93,75,3.09,SJ,1729541788
41,enewetak,11.3474,162.3373,26.83,86,100,11.17,MH,1729541789
42,bethel,41.3712,-73.414,27.05,42,0,4.12,US,1729541790
43,benson,51.6207,-1.1098,10.8,95,59,2.94,GB,1729541771
44,belyy yar,53.6039,91.3903,4.94,75,0,7.0,RU,1729541792
45,valledupar,10.4631,-73.2532,31.9,57,90,3.88,CO,1729541584
46,santa rosa del sara,-17.1092,-63.5989,31.8,48,100,2.7,BO,1729541795
47,yasuj,30.6682,51.588,14.75,29,40,0.0,IR,1729541796
48,severo-yeniseyskiy,60.3725,93.0408,-2.13,98,100,3.04,RU,1729541797
49,sault ste. marie,46.5168,-84.3333,24.16,46,0,2.06,CA,1729541790
50,georgetown,5.4112,100.3354,26.96,82,20,1.54,MY,1729541679
51,pervomayskoye,43.919,46.7102,7.12,75,32,3.57,RU,1729541800
52,port elizabeth,-33.918,25.5701,15.16,99,100,9.77,ZA,1729541580
53,puerto ayora,-0.7393,-90.3518,21.97,92,97,4.47,EC,1729541802
54,port mathurin,-19.6833,63.4167,23.29,88,19,9.58,MU,1729541804
55,hobyo,5.3505,48.5268,26.15,88,29,6.99,SO,1729541805
56,margaret river,-33.95,115.0667,13.17,70,27,5.43,AU,1729541807
57,kapuskasing,49.4169,-82.4331,12.52,65,45,2.48,CA,1729541521
58,invercargill,-46.4,168.35,10.57,86,14,3.58,NZ,1729541809
59,zaozersk,69.4005,32.4476,8.62,95,100,4.61,RU,1729541811
60,thisted,56.9552,8.6949,11.49,91,100,5.35,DK,1729541812
61,ushuaia,-54.8,-68.3,8.81,71,40,19.55,AR,1729541701
62,afaahiti,-17.75,-149.2833,24.57,87,50,7.17,PF,1729541815
63,oyama,36.3,139.8,16.36,59,64,1.19,JP,1729541816
64,arkhangel'sk,64.5401,40.5433,8.06,81,75,4.0,RU,1729541634
65,lebu,-37.6167,-73.65,14.52,78,0,6.09,CL,1729541818
66,saltburn-by-the-sea,54.5824,-0.9737,11.68,84,0,0.89,GB,1729541819
67,condado,21.8767,-79.8403,28.79,64,87,5.83,CU,1729541820
68,daru,-9.0763,143.2092,26.07,77,100,4.3,PG,1729541822
69,kourou,5.1552,-52.6478,29.89,67,0,5.4,GF,1729541824
70,kodiak,57.79,-152.4072,6.73,87,0,2.06,US,1729541825
71,albany,42.6001,-73.9662,25.51,43,20,3.66,US,1729541712
72,kingston,17.997,-76.7936,30.53,79,40,2.57,JM,1729541797
73,kachug,53.9606,105.8817,-3.49,81,100,1.43,RU,1729541829
74,marka,1.7159,44.7717,25.72,89,78,5.36,SO,1729541830
75,ganghwa-gun,37.7472,126.4856,14.04,77,100,1.5,KR,1729541831
76,flying fish cove,-10.4217,105.6791,24.82,94,100,4.63,CX,1729541832
77,betio village,1.358,172.9211,29.02,71,10,6.77,KI,1729541833
78,lobito,-12.3481,13.5456,24.27,77,71,1.78,AO,1729541834
79,paita,-5.0892,-81.1144,21.67,72,40,7.47,PE,1729541835
80,tazovsky,67.4667,78.7,-17.34,92,6,5.45,RU,1729541839
81,labytnangi,66.6572,66.4183,-3.71,97,100,0.24,RU,1729541840
82,oyon,-10.6681,-76.7731,5.93,87,98,3.46,PE,1729541841
83,bilibino,68.0546,166.4372,-8.26,91,100,5.59,RU,1729541842
84,atherton,53.5237,-2.4935,11.27,84,3,0.89,GB,1729541843
85,boguchany,58.3814,97.4531,1.1,98,100,3.52,RU,1729541845
86,saint-paul,-21.0096,55.2707,23.05,84,37,0.74,RE,1729541846
87,hamilton,39.1834,-84.5333,25.7,38,0,2.57,US,1729541752
88,carutapera,-1.195,-46.02,28.2,67,8,5.52,BR,1729541848
89,phitsanulok,16.9167,100.5,23.56,91,100,1.35,TH,1729541849
90,bopolu,7.0667,-10.4875,23.98,91,100,1.61,LR,1729541850
91,aykhal,66.0,111.5,-22.53,100,100,2.51,RU,1729541851
92,puerto natales,-51.7236,-72.4875,15.25,44,20,11.32,CL,1729541852
93,gidam,18.9833,81.4,20.72,94,52,1.12,IN,1729541853
94,canoinhas,-26.1772,-50.39,22.17,78,99,2.0,BR,1729541855
95,punta arenas,-53.15,-70.9167,12.06,54,0,23.15,CL,1729541856
96,port lincoln,-34.7333,135.8667,14.24,79,8,7.54,AU,1729541857
97,amasra,41.7463,32.3863,14.34,74,95,4.27,TR,1729541858
98,mandalgovi,45.7625,106.2708,-1.43,61,3,5.59,MN,1729541859
99,sevastopol,44.6,33.5333,11.64,61,0,3.16,UA,1729541860
100,richmond,37.5538,-77.4603,26.69,39,0,2.06,US,1729541594
101,west island,-12.1568,96.8225,25.99,78,40,4.12,CC,1729541862
102,villa gesell,-37.2639,-56.973,16.85,96,100,11.14,AR,1729541780
103,edinburgh of the seven seas,-37.0676,-12.3116,13.42,84,100,5.6,SH,1729541865
104,lihue,21.9789,-159.3672,27.77,69,0,4.63,US,1729541866
105,nikolayevsk-on-amure,53.1406,140.73,-0.8,72,92,0.5,RU,1729541867
106,behshahr,36.6923,53.5526,16.71,66,100,1.36,IR,1729541868
107,port macquarie,-31.4333,152.9167,17.26,77,10,1.34,AU,1729541869
108,luderitz,-26.6481,15.1594,14.9,78,0,6.77,NA,1729541870
109,stanley,54.868,-1.6985,10.01,83,0,4.63,GB,1729541871
110,mount gambier,-37.8333,140.7667,12.67,74,100,1.57,AU,1729541872
111,port alfred,-33.5906,26.891,15.1,100,100,4.02,ZA,1729541873
112,minas de marcona,-15.2119,-75.1103,18.3,59,16,5.56,PE,1729541874
113,tura,25.5198,90.2201,20.91,89,0,2.17,IN,1729541876
114,senanga,-16.1167,23.2667,27.64,23,9,2.62,ZM,1729541877
115,alvorada,-12.48,-49.1247,22.73,97,100,2.84,BR,1729541695
116,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,40,1.03,ID,1729541880
117,papatowai,-46.5619,169.4708,9.98,88,18,3.36,NZ,1729541881
118,serdar,38.9764,56.2757,11.89,77,100,5.28,TM,1729541882
119,odorheiu secuiesc,46.3,25.3,7.45,57,0,1.61,RO,1729541883
120,marovoay,-16.1,46.6333,28.48,48,81,2.78,MG,1729541888
121,la passe,45.5549,-0.8967,16.62,89,88,4.67,FR,1729541890
122,egilsstadir,65.2653,-14.3948,3.95,93,100,3.09,IS,1729541891
123,haiku-pauwela,20.9219,-156.3051,27.9,73,13,8.94,US,1729541892
124,kattivakkam,13.2167,80.3167,29.05,96,79,1.57,IN,1729541893
125,holualoa,19.6228,-155.9522,26.42,75,0,3.09,US,1729541894
126,fort st. john,56.2499,-120.8529,-4.06,74,75,0.0,CA,1729541895
